dataset,time,step,loss,acc
train,2018-12-03T17:24:00.164787,430,1.1656975,0.515625
train,2018-12-03T17:24:00.571277,431,1.2011685,0.453125
train,2018-12-03T17:24:00.989171,432,1.1759369,0.4921875
train,2018-12-03T17:24:01.400488,433,1.275405,0.4296875
train,2018-12-03T17:24:01.808446,434,1.173379,0.5703125
train,2018-12-03T17:24:02.225169,435,1.1941267,0.5078125
train,2018-12-03T17:24:02.641787,436,1.2020745,0.484375
train,2018-12-03T17:24:03.047974,437,1.2130821,0.4609375
train,2018-12-03T17:24:03.454818,438,1.2174718,0.453125
train,2018-12-03T17:24:03.864420,439,1.147382,0.5
train,2018-12-03T17:24:04.276798,440,1.205318,0.46875
train,2018-12-03T17:24:04.692626,441,1.2110718,0.453125
